Device Name,Device ID,Date & Time [GMT],Date & Time [Local],Latitude,Longitude,Altitude,Fix Status,DOP,Temp [C],Main [V],Back [V]
LPB 762-B,42554,1/14/2017 13:00,1/14/2017 5:00,39.4497592,-122.9654269,527.43,3D-V Fix,3.6,4,3.44,3.52
LPB 762-B,42554,1/15/2017 2:01,1/14/2017 18:01,39.4501508,-122.9657508,521.8,3D Fix,4.4,8,3.44,3.52
LPB 762-B,42554,1/15/2017 15:00,1/15/2017 7:00,39.4510461,-122.9647578,541.06,3D-V Fix,1.6,5,3.44,3.52
LPB 762-B,42554,1/16/2017 4:00,1/15/2017 20:00,39.4482842,-122.9657883,537.62,3D-V Fix,2,4,3.44,3.52
LPB 762-B,42554,1/16/2017 17:01,1/16/2017 9:01,39.4469817,-122.9650111,526.07,3D-V Fix,2.6,4,3.44,3.52
LPB 762-B,42554,1/17/2017 6:00,1/16/2017 22:00,39.4484403,-122.9658378,533.86,3D-V Fix,2.4,4,3.44,3.52
LPB 762-B,42554,1/17/2017 19:00,1/17/2017 11:00,39.4483917,-122.9620169,534.11,3D-V Fix,2.6,8,3.44,3.52
LPB 762-B,42554,1/18/2017 8:00,1/18/2017 0:00,39.4538936,-122.9651281,542.44,3D-V Fix,3.6,9,3.44,3.52
LPB 762-B,42554,1/18/2017 21:00,1/18/2017 13:00,39.4500164,-122.9647381,528.91,3D-V Fix,3.4,8,3.44,3.52
LPB 762-B,42554,1/19/2017 10:00,1/19/2017 2:00,39.4519669,-122.9648311,531.7,3D-V Fix,1.6,8,3.44,3.6
LPB 762-B,42554,1/19/2017 23:02,1/19/2017 15:02,39.4524858,-122.9673686,535.66,3D-V Fix,2.8,13,3.44,3.52
LPB 762-B,42554,1/20/2017 12:00,1/20/2017 4:00,39.4504694,-122.9611144,524.43,3D-V Fix,2.2,4,3.44,3.52
LPB 762-B,42554,1/21/2017 1:02,1/20/2017 17:02,39.4475408,-122.9433144,527.75,2D Fix,1.8,5,3.44,3.52
LPB 762-B,42554,1/21/2017 14:00,1/21/2017 6:00,39.4418078,-122.9417969,527.07,3D-V Fix,2.8,5,3.44,3.52
LPB 762-B,42554,1/22/2017 3:00,1/21/2017 19:00,39.4483661,-122.9446922,537.57,3D-V Fix,2.2,7,3.44,3.52
LPB 762-B,42554,1/22/2017 16:01,1/22/2017 8:01,,,,No Sats,25.4,2,3.44,3.52
LPB 762-B,42554,1/23/2017 5:01,1/22/2017 21:01,39.44702,-122.9633358,531.92,3D-V Fix,3.2,5,3.44,3.52
LPB 762-B,42554,1/23/2017 18:00,1/23/2017 10:00,39.4547875,-122.9556589,552.45,3D-V Fix,3.4,6,3.44,3.52
LPB 762-B,42554,1/24/2017 7:01,1/23/2017 23:01,,,,No Sats,25.4,5,3.44,3.52
LPB 762-B,42554,1/24/2017 20:01,1/24/2017 12:01,,,,No Sats,25.4,14,3.44,3.6
LPB 762-B,42554,1/25/2017 9:00,1/25/2017 1:00,39.4482947,-122.9658389,529.9,3D-V Fix,2.6,4,3.44,3.52
LPB 762-B,42554,1/25/2017 22:00,1/25/2017 14:00,39.4504219,-122.9654269,530.86,3D-V Fix,2.6,15,3.44,3.6
LPB 762-B,42554,1/26/2017 11:00,1/26/2017 3:00,39.454735,-122.9666839,528.06,3D-V Fix,3,5,3.44,3.52
LPB 762-B,42554,1/27/2017 0:01,1/26/2017 16:01,39.4534603,-122.9670836,528.49,3D-V Fix,5.2,18,3.44,3.6
LPB 762-B,42554,1/27/2017 13:00,1/27/2017 5:00,39.4474136,-122.9650189,521.32,3D-V Fix,4,3,3.44,3.52
LPB 762-B,42554,1/28/2017 2:01,1/27/2017 18:01,,,,No Sats,25.4,9,3.44,3.52
LPB 762-B,42554,1/28/2017 15:01,1/28/2017 7:01,,,,No Sats,25.4,4,3.44,3.52
LPB 762-B,42554,1/29/2017 4:00,1/28/2017 20:00,39.4550861,-122.966345,527.92,3D-V Fix,2.2,3,3.44,3.52
LPB 762-B,42554,1/29/2017 17:01,1/29/2017 9:01,,,,No Sats,25.4,4,3.44,3.52
LPB 762-B,42554,1/30/2017 6:00,1/29/2017 22:00,39.4504969,-122.9655997,527.05,3D-V Fix,2,5,3.44,3.52
LPB 762-B,42554,1/30/2017 19:01,1/30/2017 11:01,,,,No Sats,25.4,16,3.44,3.6
LPB 762-B,42554,1/31/2017 8:00,1/31/2017 0:00,39.4474558,-122.9648675,525.04,3D-V Fix,2,2,3.36,3.52
LPB 762-B,42554,1/31/2017 21:00,1/31/2017 13:00,39.4504811,-122.9655892,546.47,3D-V Fix,5.2,18,3.44,3.6
LPB 762-B,42554,2/1/2017 10:01,2/1/2017 2:01,,,,No Sats,25.4,4,3.44,3.52
LPB 762-B,42554,2/1/2017 23:01,2/1/2017 15:01,39.4468475,-122.9641692,534.74,3D-V Fix,3.8,14,3.44,3.6
LPB 762-B,42554,2/2/2017 12:00,2/2/2017 4:00,39.4384242,-122.9575864,521.02,3D-V Fix,1.4,8,3.44,3.52
LPB 762-B,42554,2/3/2017 1:02,2/2/2017 17:02,39.4477608,-122.9652894,523.22,3D-V Fix,2.2,14,3.44,3.6
LPB 762-B,42554,2/3/2017 14:01,2/3/2017 6:01,39.4500022,-122.9659147,532.41,3D-V Fix,2.8,11,3.44,3.6
LPB 762-B,42554,2/4/2017 3:01,2/3/2017 19:01,,,,No Sats,25.4,10,3.44,3.6
LPB 762-B,42554,2/4/2017 16:00,2/4/2017 8:00,39.4505578,-122.9645178,537.72,3D-V Fix,5.4,10,3.44,3.6
LPB 762-B,42554,2/5/2017 5:00,2/4/2017 21:00,39.4480542,-122.9657697,524.56,3D-V Fix,4.4,11,3.44,3.6
LPB 762-B,42554,2/5/2017 18:01,2/5/2017 10:01,39.4464078,-122.9640764,529.55,3D-V Fix,2.8,12,3.44,3.6
LPB 762-B,42554,2/6/2017 7:00,2/5/2017 23:00,39.4514964,-122.9661381,535.37,3D-V Fix,2.2,11,3.44,3.52
LPB 762-B,42554,2/6/2017 20:00,2/6/2017 12:00,39.4468561,-122.9667233,527.27,3D-V Fix,2.2,18,3.44,3.6
LPB 762-B,42554,2/7/2017 9:00,2/7/2017 1:00,39.4505022,-122.9655836,527.91,3D-V Fix,3.2,12,3.44,3.6
LPB 762-B,42554,2/7/2017 22:00,2/7/2017 14:00,39.4518058,-122.9620425,534.57,3D-V Fix,2.6,16,3.44,3.6
LPB 762-B,42554,2/8/2017 11:01,2/8/2017 3:01,39.4533956,-122.9667067,523.09,3D-V Fix,2,12,3.44,3.52
LPB 762-B,42554,2/9/2017 0:01,2/8/2017 16:01,,,,No Sats,25.4,13,3.44,3.52
LPB 762-B,42554,2/9/2017 13:00,2/9/2017 5:00,39.4868025,-122.9864281,717.42,3D-V Fix,2.2,12,3.44,3.52
LPB 762-B,42554,2/10/2017 2:00,2/9/2017 18:00,39.4872786,-122.9867317,735.04,3D-V Fix,1.6,10,3.44,3.6
LPB 762-B,42554,2/10/2017 15:01,2/10/2017 7:01,39.4883306,-122.9868325,752.09,3D-V Fix,2.8,6,3.44,3.52
LPB 762-B,42554,2/12/2017 6:01,2/11/2017 22:01,,,,No Sats,25.4,6,3.44,3.52
LPB 762-B,42554,2/12/2017 19:00,2/12/2017 11:00,39.4537694,-122.9658961,541.88,3D-V Fix,3.2,11,3.44,3.52
LPB 762-B,42554,2/13/2017 8:01,2/13/2017 0:01,,,,No Sats,25.4,8,3.44,3.6
LPB 762-B,42554,2/13/2017 21:01,2/13/2017 13:01,,,,No Sats,25.4,18,3.44,3.6
LPB 762-B,42554,2/14/2017 10:01,2/14/2017 2:01,39.453515,-122.9670222,532.13,3D-V Fix,2,6,3.44,3.52
LPB 762-B,42554,2/14/2017 23:02,2/14/2017 15:02,39.4497936,-122.9651494,525.93,3D-V Fix,3.2,24,3.44,3.6
LPB 762-B,42554,2/15/2017 12:00,2/15/2017 4:00,39.4479758,-122.9658358,503.66,3D-V Fix,3,11,3.44,3.6
LPB 762-B,42554,2/16/2017 1:00,2/15/2017 17:00,39.4517222,-122.9503442,541.12,3D-V Fix,1.8,17,3.44,3.6
LPB 762-B,42554,2/16/2017 14:00,2/16/2017 6:00,39.4552592,-122.9559625,517.15,3D-V Fix,2.8,11,3.44,3.6
LPB 762-B,42554,2/17/2017 3:02,2/16/2017 19:02,39.4486317,-122.9650758,539.5,3D-V Fix,9,11,3.44,3.6
LPB 762-B,42554,2/17/2017 16:00,2/17/2017 8:00,39.4464872,-122.9669925,537.72,3D-V Fix,4.8,8,3.44,3.52
LPB 762-B,42554,2/18/2017 5:00,2/17/2017 21:00,39.4412719,-122.964315,514.41,3D-V Fix,2.6,10,3.44,3.6
LPB 762-B,42554,2/18/2017 18:02,2/18/2017 10:02,39.4460736,-122.9696392,540.03,3D-V Fix,3.6,13,3.44,3.6
LPB 762-B,42554,2/19/2017 7:01,2/18/2017 23:01,,,,No Sats,25.4,9,3.44,3.52
LPB 762-B,42554,2/19/2017 20:02,2/19/2017 12:02,39.4582031,-122.97826,683.34,3D-V Fix,4.6,10,3.44,3.52
LPB 762-B,42554,2/20/2017 9:00,2/20/2017 1:00,39.4513294,-122.9628339,535.9,3D-V Fix,2.4,11,3.44,3.52
LPB 762-B,42554,2/20/2017 22:01,2/20/2017 14:01,,,,No Sats,25.4,12,3.44,3.6
LPB 762-B,42554,2/21/2017 11:00,2/21/2017 3:00,39.4464267,-122.9661086,522.29,3D-V Fix,1.8,9,3.44,3.52
LPB 762-B,42554,2/22/2017 0:02,2/21/2017 16:02,39.4471472,-122.9665264,521.07,3D-V Fix,2.4,14,3.44,3.6
LPB 762-B,42554,2/22/2017 13:00,2/22/2017 5:00,39.4508511,-122.9650808,529.61,3D-V Fix,2.8,5,3.44,3.52
LPB 762-B,42554,2/23/2017 2:02,2/22/2017 18:02,39.4482469,-122.9665828,523.76,3D Fix,6.2,7,3.36,3.52
LPB 762-B,42554,2/23/2017 15:01,2/23/2017 7:01,39.4565897,-122.9667336,539.06,3D-V Fix,2.2,3,3.36,3.52
LPB 762-B,42554,2/24/2017 4:00,2/23/2017 20:00,39.4484378,-122.96582,520.02,3D-V Fix,2,5,3.44,3.44
LPB 762-B,42554,2/24/2017 17:02,2/24/2017 9:02,39.4503683,-122.9652731,533.37,3D-V Fix,2.2,5,3.36,3.52
LPB 762-B,42554,2/25/2017 6:03,2/24/2017 22:03,39.4497261,-122.9649956,527.17,3D-V Fix,2.6,6,3.36,3.52
LPB 762-B,42554,2/25/2017 19:00,2/25/2017 11:00,39.4514311,-122.9612614,544.19,3D-V Fix,2.8,12,3.44,3.6
LPB 762-B,42554,2/26/2017 8:01,2/26/2017 0:01,39.4538508,-122.9486053,551.34,3D-V Fix,3,1,3.36,3.52
LPB 762-B,42554,2/26/2017 21:00,2/26/2017 13:00,39.4545692,-122.9597261,537.84,3D-V Fix,2.2,13,3.44,3.6
LPB 762-B,42554,2/27/2017 10:00,2/27/2017 2:00,39.4499681,-122.9647386,529.16,3D-V Fix,3.4,2,3.36,3.52
LPB 762-B,42554,2/27/2017 23:01,2/27/2017 15:01,39.4536575,-122.9673725,534.95,3D-V Fix,2.8,15,3.44,3.6
LPB 762-B,42554,2/28/2017 12:00,2/28/2017 4:00,39.4553453,-122.9673808,535.42,3D-V Fix,2,2,3.36,3.52
LPB 762-B,42554,3/1/2017 1:01,2/28/2017 17:01,39.4527647,-122.9677417,527.93,3D-V Fix,4.2,16,3.44,3.6
LPB 762-B,42554,3/1/2017 14:00,3/1/2017 6:00,39.4515669,-122.9643211,544.74,3D-V Fix,1.8,3,3.44,3.52
LPB 762-B,42554,3/2/2017 3:01,3/1/2017 19:01,39.4503994,-122.9655639,543.34,3D-V Fix,4.2,10,3.44,3.52
